1,1,.jpg,1,Attribution + Noncommercial,1
1,1,.jpg,1,Attribution + Noncommercial,1
2,2,.jpg,2,Attribution + Noncommercial,2
1,1,.png,1,Attribution + Noncommercial,1
2,2,.png,2,Attribution + Noncommercial,2
1,1,.jpg,1,Attribution alone,1
1,1,.png,1,Attribution alone,1
2,1,.png,1,Attribution alone,1
3,2,.png,2,Attribution alone,2
4,4,.png,4,Attribution alone,4
7,1,.png,1,Attribution alone,1
8,8,.png,8,Attribution alone,8
9,9,.png,9,Attribution alone,9
1,1,.gif,1,Attribution + ShareAlike,1
1,1,.jpg,1,Attribution alone,1
1,1,.jpg,1,Attribution + Noncommercial,1
jk,1,.jpg,11,Attribution + ShareAlike,1
1,g,.jpg,5,Attribution + ShareAlike,8
0,1,.jpg,1,Attribution + ShareAlike,1
1,_,.jpg,1,Attribution alone,1
1,1,.jpg,1,Attribution alone,1
fgyuhk,ujytr,.jpg,grfe,Attribution alone,234567
1,1,.jpg,1,Attribution alone,1
new one,1,.jpg,1,Attribution alone,1
1,1,.jpg,1,Attribution alone,0
1,1,.jpg,1,Attribution alone,1
